BR,SUBJECTIVITY,POLARITY
"Atendentes simpáticos e rápidos, sempre explicam em detalhes o prato.",1.0,1.0
Atendimento confuso e com informações contraditórias.,1.0,-1.0
"Atendimento cortês e eficiente dos garçons ,ótimo ambiente .Com certeza voltaremos!!!!",1.0,1.0
Atendimento excelente pela comadre Maria José.,1.0,1.0
Atendimento impecável e comida deliciosa.,1.0,1.0
Atendimento nota 10.,1.0,1.0
"Bem referenciado aqui no Trip, fomos ao restaurante.",0.0,0.0
Bom lugar para tomar café da manhã nos finais de semana.,1.0,1.0
"Bom sorvetes com os variados sabores para todos os gostos, para desfrutar com a família, amigos com ótimo atendimento.",1.0,1.0
"Bom, pensei comigo ""a pizza deve ser boa"".",0.0,0.0
Cerveja super gelada!,0.0,0.0
"Cheguei pouco antes das 10:20, ele pouco depois das 10:30.",0.0,0.0
Com certeza uma das melhores opçoes de lanche em Campo Grande.,1.0,1.0
"Comendo bem.Pelo que oferece, não è caro.Deixo aqui o parabéns para o Adriano, garçon simpatississimo que nos atendeu.Gostei e voltarei várias vezes, se Deus assim quiser.",1.0,1.0
Comida de primeira qualidade a um preço justo.,1.0,1.0
Comida deliciosa e uma equipe de garçons atenciosos.,1.0,1.0
Comida do restaurante é simplesmente fantástica!!,1.0,1.0
Comida excelente .,1.0,1.0
Comida excelente!!!,1.0,1.0
"Comida muito saborosa, ambiente agradável, bonito, boa decoração.",1.0,1.0
"Comida ok, mas existem ótimas opções, ou com comida bem melhor, ou com custo benefício menor.",1.0,-1.0
Como em outros restaurantes da rede os pratos são mito bem elaborados e com o custo X benéfico presente.Além dos camarões o bacalhau é muito bom.,1.0,1.0
"Considero este o meu restaurante predileto, tento sempre ir perto dos dias dos namorados devido a carta especial que eles preparam para a ocasião, gosto do risoto de salmão com molho cítrico!",1.0,1.0
"Decoração chique e sóbria, ambiente requintado e aconchegante.",1.0,1.0
"Depois de um passeio pela cidade, nada como satisfazer a nossa fome e este local tem bom atendimento e comida deliciosa.",1.0,1.0
Dou uma passada sempre que possível.,0.0,0.0
E tenha um bom apetite.,0.0,0.0
"Eles também dão ao cliente uma enquete para avaliação, no intuito de melhorar a qualidade do serviço.",0.0,0.0
"Em sistema de rodízio, o Nonna oferece ambiente agradável, familiar com garçons educados e atenciosos.",1.0,1.0
"Embaixo ( do mesmo dono) , um boteco maravilhoso com bolinhos de bacalhau, empadas e pastéis de Siri, palmito , bacalhau, camarão, maravilhosos!",0.0,0.0
"Empadas de camarão, pastéis de camarão, bolinho de bacalhau .",0.0,0.0
"Encontrar um local tranquilo, bem arrumado, com acessibilidade, comida saudável que atende aos celíacos, intolerantes à lactose e vegetarianos foi um achado.",1.0,1.0
"Entrada: croquete de camarão, bom mas nada fenomenalBurrata cremosa de parma com rúcula - muito boaPrincipal: massa recheada com pato e bife de foie gras muito saborosa!",1.0,1.0
"Então, achamos o custo-benefício ótimo.",1.0,1.0
"Esse bar é aquele lugar com uma paisagem exuberante, onde vc chega e sente que está sentado na sua sala de estar, reunidos com seus amigos.",1.0,1.0
"Este restaurante sediado na zona sul de Recife, oferece um excelente cardápio de forneria.",1.0,1.0
Estive em um domingo com o restaurante vazio e mesmo assim o atendimento foi ruim.,1.0,-1.0
Eu adoro o pão delícia 👍🏼,1.0,1.0
Excelente ambiente.,1.0,1.0
"Excelente atendimento dos garçons Eduardo e Jonceliano.Comida boa, ambiente agradável.",1.0,1.0
"Excelente para tomar um ótimo chopp, comer petiscos ou comida alemã.Indico o salsichão com salada de batatas, croquetes.Uma serpentina totalmente resfriada mantem o chopp sempre na temperatura idela.",1.0,1.0
Existem muitas opções muito melhores e muito mais baratas em Manaus.,1.0,-1.0
"Fiquei impressionado com o espaço físico, bem arejado.",1.0,1.0
Fomos com um grupo de amigos.,0.0,0.0
Fomos por indicação da guia turística e pela facilidade do leva e traz do hotel!,0.0,0.0
Fui ao Festival Cumida di Buteco e adorei.,1.0,1.0
Fui ao Gonzaga do Iate hoje com minha família e não pretendo mais voltar.,1.0,-1.0
"Fui com meu noivo em setembro de 2019, duas semanas atrás, motivada pelo marketing feito nas redes sociais.",0.0,0.0
Fui na certeza de comer bem e me dei mal !!!,1.0,-1.0
"Fui na unidade do Outlet Premium, muito bom.",1.0,1.0
Fui no jantar.,0.0,0.0
"Fui pronta e cordialmente atendida e digo uma coisa: para quem gosta de ver como as coisas se processam até chegar à mesa do cliente, vale muito o tour que foi cordialmente guiado pela Gerente.",0.0,0.0
Garçons mto atenciosos.,1.0,1.0
"Gente, que comida deliciosa!!!!",1.0,1.0
Gostamos bastante!,1.0,1.0
"Gostoso, sem dúvida, mas sem o algo a mais que eu esperava.",1.0,-1.0
Há bastante opções de cerveja.,0.0,0.0
"Instalado em uma linda edificação que poderia também receber um galeria de arte por sua beleza, nos oferece uma cozinha onde os frutos do mar são o destaque.",0.0,0.0
Já estive nesse restaurante por 2 vezes e em ambas o atendimento foi muito bom.,1.0,1.0
"Já tinha conhecido outras unidades do restaurante, sempre comendo muito bem e com os pratos refletindo exatamente como estava descrito no cardápio.",1.0,1.0
"Local agradável,  atendimento muito bom, cozinha saborosa, as vezes a borda da pizza está  queimada, aí não  gosto muito, mas no geral é ótima , sempre vou , pelo menos 1 vez no mês e indico todas vezes aos meus clientes.",1.0,1.0
"Local agradável, muito bem localizado e os pratos são de dar "" água na boca"".Atendimento rápido,muiito bom.A entrada de camarão acebolado é imperdível.Parabéns",1.0,1.0
Local muito agradável.,1.0,1.0
"Local sem luxo, mas bem tranquilo para petiscar.",1.0,1.0
Local ótimo para comer conversando sem pressa.,1.0,1.0
"Localizado em Lagoa Nova, o restaurante tem uma boa variação no seu buffet.",0.0,0.0
"Localizado em uma das ruazinhas charmosas de Santa Tereza ele serve os inigualáveis e disputados pasteis de feijoada, cerveja gelada em autênticos copos de boteco.",1.0,1.0
"Mas no geral, é uma experiência muito agradável.",1.0,1.0
Mas não se deixe enganar pela localização.,0.0,0.0
Mas poderiam servir  alguns pratos típicos de  Belém!!!,1.0,-1.0
"Mas quando os pratos chegam, é cada um melhor que o outro.",1.0,1.0
"Mas sem dúvida o que destaca no restaurante é a possibilidade de comer bem, pratos bem montado, pelo preço de até 40 reais.",1.0,1.0
"Mc Donalds é garantia de qualidade e preço justo em qualquer lugar, mas esta loja tem um ambiente gostoso e climatizado, com muita gente bonita, vale a pena.",1.0,1.0
"Melhor restaurante de frutos do mar do Rio de Janeiro, fui com minha esposa a comida é maravilhosa.",1.0,1.0
"Mesmo sendo muito bom, não deixa nada a desejar em comparação ao Pampa Burguer.",1.0,1.0
Muito bom para uma refeição rápida e gostosa.,1.0,1.0
Muito bom restaurante.,1.0,1.0
Muito educado e simpatia ímpar.,1.0,1.0
Muito típico e movimentado.,0.0,0.0
"Na sequência, a cozinha despacha o robalo com crosta de castanha, banana-da-terra, molho pesto e risoto de alho-poró (R$ 79,90).",0.0,0.0
"Nada de espetacular, mas também nada que desabone.",1.0,-1.0
Nada demais.,1.0,-1.0
No do canoa dos camarões você paga menos e a comida é muito mais saborosa.,1.0,-1.0
Não arrisque.,1.0,-1.0
"Não deixe de experimentar o hot dog freak bacon (a salsicha gourmet é enrolada por uma fatia de bacon, a maionese tem sabor de bacon e há pedacinhos de bacon por cima do lanche).",0.0,0.0
Não há como comparar a qualidade do Ponto do Açaí com o da Casa do Pará (espero que provem antes de criticar).,0.0,0.0
Não iremos repetir.,1.0,-1.0
Não poderia ser melhor!,1.0,1.0
"Não sabíamos aonde comer no shopping e vimos um buffet de saladas variado, o que nos atraiu bastante.",0.0,0.0
"Não tenho nenhuma reclamação, possui local para ficar na areia, no barzinho, no ar condicionado, comida maravilhosa, pessoas bonitas, bem frequentado, com dj, show ao vivo, o atendimento é de altíssima qualidade.",1.0,1.0
"O ambiente não cobra 10%, possui estacionamento próprio e gratuito, aos domingos, pelo menos.",0.0,0.0
"O ambiente é despojado, simples, mas a comida é excelente, a carne de sol e o frango desossado são maravilhosos, as porções generosas, o preço não é dos mais baratos, principalmente nos acessórios (espetinho da entrada e sobremesas) mas a qualidade é boa.",1.0,1.0
O ambiente é luxuoso e possui estacionamento na frente e ao lado do estabelecimento.,0.0,0.0
O ambiente é muito agradável com forró pé-de-serra tocando o tempo tempo.,1.0,1.0
O atendimento foi muito bom e a cerveja bem gelada.,1.0,1.0
"O atendimento é também um ponto elevado na casa, o que torna a experiência extremamente agradável.",1.0,1.0
"O cardápio oferece opções de lanche, entradas e prato quente.",0.0,0.0
O cardápio parece um parque de diversões.,0.0,0.0
O cítrico do vinagrete combinava perfeitamente com o adocicado da maçã e o sabor marcante do provolone.,1.0,1.0
"O lugar é muito bonito, sofisticado e refinado.",1.0,1.0
"O moço que estava de garçom e caixa - possivelmente um dos donos - estava conversando com um outro casal, e quando viu que eu levantei pra fazer o pedido olhou com cara de ""aff, sem paciência"".",1.0,-1.0
"O preço é razoável também, nem tão caro nem tão barato.",1.0,-1.0
O que salva ali é a boa vontade dw rodos garçons e a maioria dos  mettres e o chefe das carnes.,1.0,-1.0
O restaurante deveria focar em obter receita com o comida e não esses subterfúgios.De toda maneira a comida é muito boa apenas deveria corrigir esses detalhes.,1.0,1.0
"O restaurante fica em uma rua pequena e um pouco escondido, mas a decoração é uma graça e o atendimento perfeito.",1.0,1.0
"O restaurante tem um local previlegiado, com uma vista exuberante.",1.0,1.0
O restaurante tem uma imensa variedade de comidas tipicas e sobremesas.,1.0,1.0
O rondelli de queijo com molho branco estava uma delícia.,1.0,1.0
"O sabor estava bom, mas tínhamos que literalmente “pescar” os pedaços de peixe dentro da panela.",1.0,-1.0
O serviço é muito bom.,1.0,1.0
Os pratos servem mais de duas pessoas e são excelentes.,1.0,1.0
Os preços são moderados.,1.0,1.0
"Os risotos do festival são bem servidos, experimentei 4 risotos e alguns não estavam no ponto certo, em que pese estarem todos saborosos.",1.0,1.0
Os vinhos são bons e os preços não discrepam dos praticados em restaurantes do mesmo nível.,1.0,1.0
Para quem gosta de musica sertaneja é parada obrigatória😉,1.0,1.0
Para quem vai ao Shopping Barra o Oliva e uma opcao para um almoco bom.,0.0,0.0
"Para ver o movimento, sente perto do corredor.",0.0,0.0
"Pedacinho da França em Ipanema, boas opções e variedades de prato, com uma carta de vinhos bem adequada.",1.0,1.0
"Pedimos uma pizza meio Sertaneja e meia Fontana de Trevi, que estava muita boa (massa fina e saborosa).",1.0,1.0
"Pelo preço que é cobrado, já deveriam ter passado por reforma, para tornar as instalações e a espera mais agradáveis, principalmente os banheiros, que deixam muito a desejar.",1.0,-1.0
"Porção com 12 unidades de bolinho tipo coquetel a $30 , podiam rever isso !",0.0,0.0
"Porém no que tange ao sabor da comida, posso dizer que foi sensacional.",1.0,1.0
"Pra nós, não foi problema.Único senão: falta de ar condicionado .",0.0,0.0
"Pratos saborosos , boa opção o Camarão Internacional.",1.0,1.0
Preço acessivel.,1.0,1.0
"Prático e rápido.Para beber suco (suco do bem), refri, água e cerveja Miller.",1.0,1.0
"Que agradável surpresa: ambiente bonito, comida saborosa: desde a entrada ate sobremesa.",1.0,1.0
"Quer sentir o ""clima de boteco carioca""?",0.0,0.0
Quero sempre mais!,1.0,1.0
Recomendadíssimo!,1.0,1.0
Recomendo!,1.0,1.0
Recomendo.,0.0,0.0
Restaurante agradável e uma picanha maravilhosa!,1.0,1.0
"Restaurante em que o valor da comida é de acordo com a carne escolhida (Carne, frango, salmão.",0.0,0.0
"Se fosse ruim, não estaria em tantas letras de música.",0.0,0.0
Se quer comer camarão va ao restaurante.,0.0,0.0
"Sem duvida alguma é a melhor hamburgueria de Palmas, desde a qualidade do atendimento, ambiente, música, e o principal, a qualidade da comida.",1.0,1.0
Sempre visito com clientes de fora da cidade para almoço de negócios.,0.0,0.0
Sensacional.,1.0,1.0
"Serviço lento,porém atencioso.voltarei.",1.0,1.0
Seu estilo não parece ter mudado muito no decorrer dos anos o que lhe confere por si só o status de ponto turístico.,0.0,0.0
Somos fregueses.,0.0,0.0
Super recomendo!!!,1.0,1.0
Tem 3 ou mais opções de carne e é barato.,1.0,1.0
Tem estacionamento!,0.0,0.0
Tem pizzas e pastéis.,0.0,0.0
Tem uma vista boa e os atendentes são simpáticos.,1.0,1.0
Tive a oportunidade de provar a carne de sol com pirão de queijo de sabor suave e delicioso.,1.0,1.0
"Todos os pratos estavam deliciosos, bem temperados.",1.0,1.0
Tomei um drink de espumante com açaí e nibs de cacau que estava sensacional!!,1.0,1.0
"Tudo nesta hamburgueria é de qualidade e bem servido, e o ambiente é agradável e os funcionários gentis.",1.0,1.0
"Um lugar para as pessoas bonitas, então veste smart.",0.0,0.0
"Uma dica é chegar cedo, pois como é muito bom, nos finais de semana fica lotado na hora do almoço.",1.0,1.0
Vale a pena o preço.,1.0,1.0
Vale a pena!,1.0,1.0
Vale a pena.,1.0,1.0
Vale apena!,1.0,1.0
"Vale muito a visita , comida sem carne mas com muito sabor e apresentação sensacional, recomendo para todos experimentarem, ótima experiência",1.0,1.0
Visitei com amigos e família e todos gostaram.,1.0,1.0
Voltaremos em breve!!,0.0,0.0
"Voltaria a comer lá, com certeza!",1.0,1.0
bons ingredientes.,1.0,1.0
"lugar lindo , com uma decoração rústico chic.",1.0,1.0
o restante gostei.,1.0,1.0
padaria de primeira qualidade .,1.0,1.0
quando chegamos na cidade fomos direito para la e comemos muito.,0.0,0.0
recomendo o A La Minuta (com bife a Milanesa),0.0,0.0
Ás vezes demora mas pela quantidade de pedidos.,1.0,-1.0
É uma boa opção para quem quer comer comida japonesa em João Pessoa.,1.0,1.0
Ótimo atendimento.,1.0,1.0
Ótimo lugar para encontrar os amigos e passar a noite conversando.,1.0,1.0
"Ótimo lugar para tomar uma cerveja com amigos ou família, gostei muito da porção de jacaré, indico a todos",1.0,1.0
"Ótimo restaurante onde a comida em nada fica a dever aos bons restaurantes de São Paulo, berço da culinária italiana no Brasil.",1.0,1.0
"🇬🇷 Há um bom tempo queríamos conhecer o restaurante grego Óia, tão aclamado pelos críticos gastronômicos do Rio e atual queridinho dos cariocas.⠀ O lugar tem uma decoração mediterrânea, mesclando tons de azul com branco, tudo impecável!",1.0,1.0
